# @VGMT1.0
# @R63.265608/142.724686/15.003562/56.389336                              
# @Jp"+proj=longlat +ellps=WGS84 +towgs84=0,0,0,0,0,0,0 +no_defs "
# @Jw"GEOGCS[\"unnamed\",DATUM[\"MIF 0\",SPHEROID[\"WGS 84 (MAPINFO Datum 0)\",6378137.01,298.257223563],TOWGS84[0,0,0,0,0,0,0]],PRIMEM[\"Greenwich\",0],UNIT[\"degree\",0.0174532925199433]]"
# @GPOLYGON
# @NField1
# @Tstring
# FEATURE_DATA
>
# @D
# @P
142.651951 53.228128
141.568846 52.583112
141.033198 52.272856
140.425853 51.808238
139.76283 51.522807
139.570358 51.468294
139.047182 51.417164
138.603995 51.225046
138.103893 50.950671
137.929935 50.875918
136.850025 50.539399
135.702647 50.057161
134.890797 49.862708
134.089085 49.678353
133.534697 49.345183
132.980847 48.996258
132.344126 48.779708
131.6551 48.38936
131.304346 47.992907
130.581905 47.516616
130.216742 47.107791
129.960818 46.906366
129.63162 46.44856
129.051845 45.995788
128.827926 45.804598
128.374824 45.466821
127.909475 45.144776
127.423286 44.722074
126.684141 44.344094
125.913404 43.879674
124.96877 43.315307
124.435697 42.805668
123.856997 42.227468
123.359359 41.712691
123.05086 41.43914
122.690887 41.083424
121.434848 40.747955
121.088752 40.464659
120.852784 40.228579
120.664 40.134147
120.333632 40.023971
120.00328 39.850843
119.751568 39.756411
119.311088 39.724939
118.996464 39.787891
118.681005 39.876913
118.054803 40.075425
117.481997 40.151958
116.950639 40.26686
116.686942 40.352084
116.502555 40.461616
116.174684 40.491523
115.684336 40.685375
115.224209 40.790157
114.786285 40.842376
114.443959 40.789641
114.049885 40.716154
113.793348 40.652037
113.269883 40.694536
112.884861 40.803692
112.630604 40.780296
112.359353 40.828345
112.204748 40.873965
112.051559 40.976687
111.836023 40.951182
111.560866 40.868758
111.24664 40.743203
110.506099 40.647945
110.175509 40.634534
110.078395 40.720553
109.903144 40.777853
109.610347 40.891949
109.22359 40.991672
109.094274 41.06868
108.725219 41.30213
108.107585 41.280084
107.780125 41.347172
107.44173 41.362969
107.069117 41.491849
106.708065 41.64142
106.444926 41.77832
106.177747 41.972064
105.893552 42.437769
105.46992 42.827011
105.245702 43.481449
104.976516 44.135009
104.745599 44.7618
104.363602 45.658749
104.076083 46.329006
103.768385 46.693985
103.437711 47.261927
103.310814 47.679344
103.17046 48.2139
103.202159 48.757671
103.386774 49.76627
103.684788 50.385238
104.110061 50.875814
104.467826 51.186148
104.946198 51.455505
105.820524 51.675422
106.331885 51.926948
106.856688 51.983321
106.91123 52.28304
107.177907 52.512497
107.542194 52.668462
108.070482 52.840822
108.434025 53.190316
109.391231 53.332295
110.118201 53.679974
110.546243 54.14771
111.313747 54.537506
111.899025 54.942489
112.46229 55.209447
112.934865 55.507503
113.67166 55.660689
114.943761 55.748511
116.272472 55.870164
117.371515 56.069148
118.20032 56.213567
118.881646 56.331418
119.482636 56.389336
120.233344 56.295499
121.290081 56.129658
121.940649 56.050256
122.704452 55.92788
123.419357 55.588934
123.890433 55.392814
124.489083 55.338096
125.110553 55.278797
126.016696 55.187763
126.801433 55.104523
127.698183 54.988871
128.222741 54.943298
129.205049 54.63778
130.049132 54.413748
130.730305 54.160129
131.249019 54.130028
131.904114 54.099645
133.10315 54.129712
133.94178 54.313497
134.762414 54.493784
136.011987 54.691159
137.96385 54.950564
139.450106 55.111308
140.881121 55.099903
142.41988 55.212546
142.524626 54.686727
142.613707 54.210959
142.631937 53.679853
142.644177 53.351939
142.651951 53.228128
>
# @D
# @P
142.245422 52.329272
141.709806 52.019016
141.34331 51.934408
141.145966 51.821592
140.751278 51.65236
140.28072 51.369583
139.803009 51.267074
139.313856 51.179025
138.742513 51.039428
138.324557 50.829015
137.800846 50.691169
137.245777 50.426118
136.980209 50.317385
136.438282 50.114261
135.873853 49.992517
135.000361 49.726574
134.594056 49.639232
134.308459 49.556952
133.954804 49.446507
133.599081 49.219131
133.342443 48.936859
132.580093 48.631354
132.154813 48.452279
131.617303 47.981216
131.201122 47.748325
130.930561 47.429836
130.598451 47.14601
130.229728 46.854597
129.959996 46.511021
129.682466 46.321111
129.339992 45.962448
128.957921 45.710397
128.451353 45.322762
128.045752 45.022344
127.757394 44.744377
127.409179 44.574383
126.996321 44.42428
126.429365 44.065828
126.346137 43.862636
125.92862 43.660934
125.521582 43.494671
125.244085 43.188341
124.831909 42.809264
124.462479 42.362916
123.994489 41.827151
123.591375 41.507925
122.928531 40.853604
122.688856 40.64106
122.419882 40.379018
122.152413 40.047192
122.056945 39.861148
122.008309 39.500903
122.074545 39.360311
122.106642 39.289465
122.191077 39.231359
122.34728 39.189819
122.495252 39.154945
122.643195 39.118113
122.995823 39.03577
123.472914 38.950968
124.048 38.857593
124.868288 38.748916
125.009387 38.735242
