# @VGMT1.0 @GLINESTRING
# @R67.0323/148.029205/15.002/56.3284                                     
# @Jp"+proj=longlat +ellps=clrk66 +towgs84=-8,160,176,0,0,0,0 +no_defs "
# @Jw"GEOGCS[\"unnamed\",DATUM[\"NAD_1927\",SPHEROID[\"Clarke 1866\",6378206.4,294.9786982],TOWGS84[-8,160,176,0,0,0,0]],PRIMEM[\"Greenwich\",0],UNIT[\"degree\",0.0174532925199433]]"
# @NBLOCK1a
# @Tstring
# FEATURE_DATA
>
# @D
138.686 34.0582
138.812 35.2853
138.56 36.1799
138.322 36.7648
138.084 37.1203
138.137 37.1489
138.294 37.2321
138.466 37.4414
138.742 37.7926
139.148 38.2341
139.415 39.0627
139.695 40.4619
140.031 42.4746
140.48 44.1088
141.012 45.399
141.257 45.8721
141.432 46.1703
141.866 47.0763
142.461 48.5414
142.203 50.5483
142.441 51.3798
142.721 52.9854
142.498 55.0898
142.61 56.3284
>
# @D
93.4746 15.002
94.1329 16.4012
94.4411 17.4104
94.3152 18.1903
93.8534 19.1364
93.1957 20.7534
92.664 22.1526
92.2442 23.2421
92.4403 24.1366
93.4906 25.3924
94.5199 26.4704
96.0041 27.3592
96.8022 27.9298
97.0472 28.0101
97.3833 28.2509
97.6353 28.4631
97.8016 28.5885
97.7999 28.5928
97.4534 28.8057
97.2294 28.9777
97.0334 29.0981
96.8024 29.2128
96.61 29.3185
96.4743 29.3838
96.4595 29.3626
96.0113 28.7268
95.1572 28.1534
94.4011 27.7406
93.7662 27.1557
92.8469 27.1213
91.6288 26.8575
90.5967 26.9515
89.7607 26.7598
88.9003 27.0419
86.9122 27.0945
85.1048 27.5857
83.9496 27.7588
82.8176 28.02
82.185 28.2552
81.3011 28.8828
79.5675 29.2286
78.3293 29.9138
77.6556 30.5253
76.998 30.6535
76.5699 32.3107
75.8623 32.5828
75.0878 33.2958
74.1294 33.765
73.1938 34.902
73.0866 34.1519
72.72 33.9738
72.5291 33.6626
71.673 33.5245
70.3547 33.5902
69.8929 32.6767
70.3398 30.3895
69.7196 29.8165
68.426 29.5924
67.7411 30.1889
67.2199 30.3648
67.324 29.7924
67.1971 28.9494
67.2654 28.1046
67.0323 27.4595
67.2012 26.1376
>
# @D
148.029205 42.7034
145.694901 41.427502
144.6409 41.008598
144.281799 40.0686
143.843796 37.710602
142.269953 35.501799
140.925764 34.721948
139.469633 34.263212
138.573546 33.942097
136.613357 33.253994
134.565201 32.252701
132.587997 30.9245
131.478897 29.7897
130.244003 27.2645
129.776398 26.684999
128.9785 25.791
126.405098 23.7036
125.145121 23.425582
124.123057 23.242087
122.919057 23.414113
122.540997 23.161809
122.092935 22.909504
121.75691 22.829225
121.798833 22.427832
121.840776 22.129653
121.770674 21.613576
121.728532 20.891067
121.448332 19.904785
120.916179 19.193745
120.496123 18.964377
119.922028 18.562983
119.389911 18.035437
119.221763 17.30146
119.277608 16.498673
119.263481 15.844975
119.291361 15.225681
